,index,company
0,0,Контур
1,1,DeNet
2,2,Linked Helper
3,3,ООО Евразия Консалтинг
4,4,ООО Газхолд
5,5,Piano
6,6,Парфюмерно-косметический супермаркет Золотое Яблоко
7,7,ООО Волжско-Камский оконный завод
8,8,ООО Информационные Технологии
9,9,ИП Багаманшин Альберт Фаязович
10,10,ООО Инфоматика
11,11,ООО Инфоматика
12,12,ONLINECONTRACT
13,13,"АО ИНКОМСИСТЕМ, НИЦ"
14,14,Контур
15,15,Инсайрес
16,16,ООО АРФА
17,17,ООО Информационные Технологии
18,18,HR ME
19,19,ООО Крофттех
20,20,ИП Зарипов Дмитрий Владимирович
21,21,ООО Гиасофт
22,22,ООО Селект
23,23,"АО ИНКОМСИСТЕМ, НИЦ"
24,24,Центральный банк Российской Федерации (Банк России)
25,25,Cinar
26,26,Франчайзинг5
27,27,АВТОСЕТЬ.РФ
28,28,ООО Мистер Чек 16
29,29,"Воздушные фильтры, компания"
30,30,Мама Жанна
31,31,Данафлекс
32,32,ООО Денвик
33,33,iSpring
34,34,Алабуга. Проектный менеджмент
35,35,ТК Славица
36,36,ELMA
37,37,Контур
38,38,Digital Agency Rubikon
39,39,Алабуга. Политех
40,40,ООО ИНЖИНИРИНГ
41,41,ООО РОСТ ИНТЕК
42,42,ООО ТТК Диджитал
43,43,AYA Group
44,44,ООО Цитадель
45,45,НПК Финист-софт
46,46,IndigoSoft
47,47,АО НПФ ВТБ Пенсионный Фонд
48,48,БАРС Груп
49,49,ООО Совкомбанк Технологии
50,50,ООО Ак Барс Цифровые Технологии
51,51,ООО Норматех
52,52,ИП Ахунзянов Марат Асхатович
53,53,АО Клио-Софт
54,54,Ковалевич Валерия
55,55,ООО Праймфлора
56,56,Центральный банк Российской Федерации (Банк России)
57,57,ООО Техсолв
58,58,Монополия
59,59,ООО 1C-Рарус
60,60,МБ-Ирбис
61,61,ООО Ак таш
62,62,Мегастрой
63,63,Арсан
64,64,АО Атомдата-Иннополис
65,65,Т-Банк. Работа с клиентами
66,66,ООО Лоция
67,67,АВТОСЕТЬ.РФ
68,68,ЕВРАЗ. ИТ-специалисты
69,69,ООО ЦПР
70,70,VS Софт
71,71,ООО Совкомбанк Технологии
72,72,РОСЭЛТОРГ
73,73,Jobers
74,74,Тензор
75,75,Центральный банк Российской Федерации (Банк России)
76,76,IT-компания Навигатор
77,77,Центр информационных технологий Республики Татарстан
78,78,Группа Компаний БРИО
79,79,"Содружество, Группа компаний"
80,80,ООО Униматик
81,81,ГК Innostage
82,82,ООО МНКТ
83,83,"VK, Технический департамент"
84,84,Алабуга. Политех
85,85,Группа ГМС
86,86,ООО 500на700
87,87,Тензор
88,88,ТензоТехСервис
89,89,ИП Прохорченко Дарья Игоревна
90,90,ООО Линсофтверпродакшн
91,91,ООО Совкомбанк Технологии
92,92,Ozon Информационные технологии
93,93,ООО Ракета
94,94,РТ МИС
95,95,IMPERIUM WEB
96,96,IMPERIUM WEB
97,97,ООО Страховая компания «АК БАРС-Мед»
98,98,АО ДКС
99,99,ООО Ракета
100,100,ООО АЗ АТОМ
101,101,Тензор
102,102,ТОО ДиджиталБизФэктори
103,103,Prime Sport
104,104,"АО ИНКОМСИСТЕМ, НИЦ"
105,105,ХОЧУСТУЛ
106,106,ООО Технокап
107,107,Т-Банк. ИТ. Разработка
108,108,Первый Бит
109,109,ООО Элитс
110,110,"Ак Барс Банк, ИТ"
111,111,"Ак Барс Банк, ИТ"
112,112,ООО Мармеладыч
113,113,"ТЕРМЕКС, Группа Компаний"
114,114,ООО Точка Качества
115,115,Контур
116,116,Sofoil LLC
117,117,ИСКОМЭД
118,118,Decart IT-production
119,119,АО Казанский завод синтетического каучука
120,120,ООО Смарт Консалтинг
121,121,НЭТЕР
122,122,ООО Банковские и Финансовые Системы
123,123,ЗАО Научно-исследовательский центр Югранефтегаз
124,124,ООО Цитадель
125,125,ООО Смарт Консалтинг
126,126,Университет Иннополис
127,127,Grand trade
128,128,ООО М13
129,129,ООО СКБ Новые Технологии
130,130,DeNet
131,131,SMART-SHOP
132,132,ООО ТатАИСЭнерго
133,133,ООО Транзит-Ойл
134,134,ЕАЕ-Консалт
135,135,Maxim technology
136,136,ГК Innostage
137,137,Homework
138,138,ДОБРОЦЕН
139,139,ООО Ак Барс Цифровые Технологии
140,140,ГАУЗ Клиническая больница №2
141,141,ООО Ак Барс Цифровые Технологии
142,142,Bcraft
143,143,ООО Торгово-монтажная компания ФОРС-сервис
144,144,ООО Простые Платежи
145,145,Сбер для экспертов
146,146,АО Казанский Вертолетный Завод
147,147,Сбер для экспертов
148,148,Татнефть Цифровые Технологии
149,149,Кб
150,150,НПК Финист-софт
151,151,ООО ГИСГИС
152,152,ООО Завод Нефтегазоборудование
153,153,АЛРОСА.Офис
154,154,ООО 500на700
155,155,ООО Системы документооборота
156,156,ООО Имплекс Проекты
157,157,ООО АП Топ
158,158,ООО АВП-ГРУПП
159,159,ООО Инженерное Бюро АНКОР
160,160,АО Эссен Продакшн АГ
161,161,ООО Кадровый Метод
162,162,65apps
163,163,Алабуга. Управление цифровой трансформации
164,164,BIV
165,165,TDM ELECTRIC
166,166,ООО ДЕКА
167,167,TravelLine
168,168,ООО Вайс Сити Системс
169,169,StarShip.Pro
170,170,ООО НПП ГКС
171,171,ООО Метрол
172,172,ООО Простые Платежи
173,173,ООО ТатЭко
174,174,Яндекс
175,175,НПК Финист-софт
176,176,ООО СимбирСофт
177,177,Алабуга. Проектный менеджмент
178,178,Казанский (Приволжский) федеральный университет
179,179,Digital Agency Rubikon
180,180,Spice IT
181,181,ООО Смарт Консалтинг
182,182,ООО Вайс Сити Системс
183,183,FIX
184,184,ООО ЭПИК
185,185,ООО Центр
186,186,АО Инвест Пром Групп
187,187,Avenue VIP
188,188,ЕВРАЗ. ИТ-специалисты
189,189,Maxim technology
190,190,ООО СКБ Новые Технологии
191,191,ТС Океан и Зеленая линия
192,192,ООО Ак Барс Цифровые Технологии
193,193,НПК Финист-софт
194,194,ООО Открытые решения
195,195,ООО Сджей Глобал
196,196,Тензор
197,197,ООО Цитадель
198,198,АО Вакууммаш
199,199,ООО Банковские и Финансовые Системы
200,200,ООО Банковские и Финансовые Системы
201,201,СДЭК
202,202,Aston
203,203,Алабуга. IT-Разработка игр
204,204,ООО ПК Скорса
205,205,Homework
206,206,HTTPS DIGITAL
207,207,ООО Максат - Рус
208,208,ООО Максат - Рус
209,209,ООО Совкомбанк Технологии
210,210,АО Социальная карта
211,211,DCloud
212,212,Госзаказ Групп
213,213,Рекрутинговое агентство RCI
214,214,ООО Саймон Проперти Групп
215,215,ООО Инет Ком
216,216,ООО УПРАВЛЯЮЩАЯ КОМПАНИЯ ШАХУНСКОЕ МОЛОКО
217,217,Арсан
218,218,TOPHUNTER
219,219,ООО Пункт Е
220,220,RedLab
221,221,БФТ-Холдинг
222,222,НПК Финист-софт
223,223,Национальный Научный Центр Фармаконадзора
224,224,ООО Статус-К
225,225,Х5 Еда
226,226,Сбер для экспертов
227,227,АЗС ИРБИС
228,228,АО Казанский Вертолетный Завод
229,229,Тензор
230,230,Nobilis.Team
231,231,Казанский (Приволжский) федеральный университет
232,232,Тензор
233,233,ООО Промвиар
234,234,ГК ICL
235,235,ООО Ак Барс Цифровые Технологии
236,236,АО Инвест Пром Групп
237,237,Maxim technology
238,238,THE FLEX
239,239,ООО АЙТИ.СПЕЙС
240,240,Алабуга. Проектный менеджмент
241,241,ООО РТСИМ
242,242,ТОО АКСЕЛБОЛТ КАЗАХСТАН
243,243,ООО Максат - Рус
244,244,АО Нэфис Косметикс
245,245,ФТО
246,246,Clickise
247,247,ЭРНА
248,248,DeNet
249,249,DeNet
250,250,"Assino, Группа компаний"
251,251,Контур
252,252,БАРС Груп
253,253,Алабуга. Проектный менеджмент
254,254,Алабуга. Проектный менеджмент
255,255,Группа Компаний БРИО
256,256,Контур
257,257,Rambler&Co
258,258,АО Р-Фарм
259,259,Компания КомЛайн
260,260,ООО 1C-Рарус
261,261,ООО Ак Барс Цифровые Технологии
262,262,ООО 1C-Рарус
263,263,Х5 Еда
264,264,Группа Компаний Мечел
265,265,Тензор
266,266,ООО Данлеко
267,267,Wanted
268,268,ООО Имплекс Проекты
269,269,ООО Имплекс Проекты
270,270,ООО Имплекс Проекты
271,271,АО Холдинговая Компания Чистополье
272,272,ООО Имплекс Проекты
273,273,ООО Имплекс Проекты
274,274,ООО Имплекс Проекты
275,275,Акцент на результат
276,276,Тензор
277,277,iStaff-IT
278,278,ООО Совкомбанк Технологии
279,279,ИП Зарипов Дмитрий Владимирович
280,280,ООО Ракета
281,281,ООО ЦПР
282,282,АО Булочно-кондитерский комбинат
283,283,АО Инвест Пром Групп
284,284,АО КЖК
285,285,АО Завод-Элекон
286,286,НПК Финист-софт
287,287,Aston
288,288,Ozon Банк
289,289,ЛЭтуаль Магазины
290,290,Programming Store
291,291,Алабуга. Проектный менеджмент
292,292,Алабуга. Проектный менеджмент
293,293,ООО АЙТИ.СПЕЙС
294,294,ООО Ракета
295,295,ООО Мобифитнес
296,296,Диалог Информационные Технологии
297,297,Сибур
298,298,ООО Русдронопорт
299,299,АО ДКС
300,300,АО Казанькомпрессормаш
301,301,ООО Интернет агентство ASAP
302,302,Elfsight Inc.
303,303,Aston
304,304,ООО Цитадель
305,305,INSOFT
306,306,ООО Смарт Консалтинг
307,307,ИП Савадерова Дарья Константиновна
308,308,ООО Таврида Электрик
309,309,Тензор
310,310,ООО НПП ГКС
311,311,ООО Ракета
312,312,АО Центральное Конструкторское Бюро Фотон
313,313,ООО ТАТИНВЕСТТРАНС
314,314,АО НИИтурбокомпрессор им. В.Б.Шнеппа
315,315,ООО Имплекс Проекты
316,316,ООО ЛСЭ
317,317,АО Татэнергосбыт
318,318,ИП Кропачева Ирина Анатольевна
319,319,Family Team
320,320,АО Булочно-кондитерский комбинат
321,321,АО Нэфис Косметикс
322,322,ООО Совкомбанк Технологии
323,323,Алабуга. Проектный менеджмент
324,324,Maxim technology
325,325,Группа Компаний БРИО
326,326,"ООО Бристоль, сеть магазинов"
327,327,ООО Maxima
328,328,ООО Maxima
329,329,Clickise
330,330,4-6 studio
331,331,ООО Лайтстат
332,332,Контур
333,333,ООО ХИМПРОМПРОЕКТ
334,334,Сбер для экспертов
335,335,АО НИИтурбокомпрессор им. В.Б.Шнеппа
336,336,ПромБудущее
337,337,Мэрия города Казани
338,338,ООО КЭР-Инжиниринг
339,339,АО Казанькомпрессормаш
340,340,DeNet
341,341,ООО Совкомбанк Технологии
342,342,TravelLine
343,343,ООО Инногеотех
344,344,Сбер для экспертов
345,345,ООО ЭвоКом
346,346,ООО Саймон Проперти Групп
347,347,ООО Искра-Волга
348,348,Казанский авиационный завод им. С.П. Горбунова - филиал АО Туполев
349,349,АСКОН
350,350,ИП Зарипов Дмитрий Владимирович
351,351,GOLDEX
352,352,ООО Роадгид
353,353,GOLDEX
354,354,NORDFOX
355,355,ООО Гектор Двери
356,356,ООО Бизнес Технологии
357,357,ГК ICL
358,358,Республика Татарстан
359,359,ООО Прометей Технологии
360,360,ООО Архитектурная мастерская Апостола
361,361,ООО Система Продаж
362,362,Eqwile
363,363,ООО Совкомбанк Технологии
364,364,IT Business Solutions
365,365,ООО Информационные Бизнес Решения
366,366,WELL MEDIA
367,367,НПК Финист-софт
368,368,ПАО ТАТТЕЛЕКОМ
369,369,Job development (ИП Козлова Ольга Александровна)
370,370,Rimzona
371,371,"Ак Барс Банк, ИТ"
372,372,МУП города Казани Водоканал
373,373,Яндекс Крауд: Качество продуктов
374,374,ООО Эйдос
375,375,ООО АгроСтар Трейд +
376,376,ООО АгроСтар Трейд +
377,377,Девелоперская компания Древо
378,378,ООО Самолет Плюс
379,379,ООО Самолет Плюс
380,380,ООО Тулпар
381,381,"Ак Барс Банк, Специалистам и руководителям"
382,382,"Ак Барс Банк, Специалистам и руководителям"
383,383,"Ак Барс Банк, Специалистам и руководителям"
384,384,ООО Вайс Сити Системс
385,385,НПК Финист-софт
386,386,АО Казанский оптико-механический завод
387,387,ООО Лизинг-Трейд
388,388,ООО Экополис
389,389,ООО ЛИДЕР-М
390,390,Cognitive Pilot
391,391,Деловые информационные системы
392,392,АО Таргет
393,393,Мэрия города Казани
394,394,Группа Богатырь
395,395,Яндекс Крауд: Поддержка
396,396,Яндекс Крауд: Поддержка
397,397,АЗС ИРБИС
398,398,ООО РТСИМ
399,399,Яндекс Крауд: Качество продуктов
400,400,Agile.Group
401,401,ООО Технократия
402,402,ООО Торговый дом Дача
403,403,ООО Телефонные Системы
404,404,Яндекс Крауд: Контент
405,405,Exely (ИП ООО HOTEL SALES WIZARD)
406,406,Испытательный Центр Стройэксперт
407,407,ООО 1C-Рарус
408,408,БАРС Груп
409,409,ООО ГК ДИАТ
410,410,БАРС Груп
411,411,Монополия
412,412,ПИК
413,413,KAFT SYSTEM
414,414,ИП Зиннуров Алмаз Минзахитович
415,415,ООО ТД Алкотек
416,416,ООО АгроСтар Трейд +
417,417,АО Казанский Вертолетный Завод
418,418,ООО Бизнес Апгрейд
419,419,ООО Айтиконтакт
420,420,ООО 1C-Рарус
421,421,Арсан
422,422,ООО ДЕКА
423,423,ООО Вайс Сити Системс
424,424,ООО Совкомбанк Технологии
425,425,Компания КомЛайн
426,426,ООО НоваСтрой
427,427,ООО АгроСтар Трейд +
428,428,JVO.ru
429,429,TravelLine
430,430,KiteGroup
431,431,Яндекс Крауд: Поддержка
432,432,ООО Газпром питание
433,433,Job development (ИП Козлова Ольга Александровна)
434,434,ГК ICL
435,435,GRANTERA
436,436,Job development (ИП Козлова Ольга Александровна)
437,437,ООО Экополис
438,438,ИП Ахунзянов Марат Асхатович
439,439,ООО Райтек ДТГ
440,440,ООО УДБ БАРС
441,441,AB
442,442,Яндекс Крауд: Контент
443,443,АК БАРС ДОМ
444,444,ООО РСК Групп
445,445,ООО Комлед
446,446,Первая Форма
447,447,ПромТехнолог
448,448,Логопотам
449,449,ООО АгроСтар Трейд +
450,450,ООО Основа +
451,451,Алабуга. Проектный менеджмент
452,452,"ИТ-парк, Технопарк в сфере высоких технологий"
453,453,Сеть аптек Апрель
454,454,ООО Айтиконтакт
455,455,ООО ХИМПРОМПРОЕКТ
456,456,ICL Soft
457,457,ТОО ДиджиталБизФэктори
458,458,ООО Инструмент
459,459,ООО Основа +
460,460,НПК Финист-софт
461,461,ООО Вайс Сити Системс
462,462,Компания Самолет
463,463,ООО КЭР-Инжиниринг
464,464,AB InBev Efes
465,465,ООО Производственная Компания Энэлт
466,466,Яндекс Практикум
467,467,ООО Икс-Игрек-Зет Автоматизация
468,468,ООО Совкомбанк Технологии
469,469,ООО АвтоВолгастрой
470,470,"ПАО Банк ПСБ, ИТ"
471,471,Maxim technology
472,472,ICL Soft
473,473,ООО ЦИТ Регион
474,474,ООО Датаюниверс
475,475,Сибалюкс
476,476,ООО Айтиконтакт
477,477,ООО Айтиконтакт
478,478,ГК ICL
479,479,AYA GAMES
480,480,AB InBev Efes
481,481,ООО ГИСГИС
482,482,АО Вакууммаш
483,483,FIX
484,484,ООО Совкомбанк Технологии
485,485,IBS
486,486,Job development (ИП Козлова Ольга Александровна)
487,487,TravelLine
488,488,morse
489,489,ООО ЦИТ Регион
490,490,Сбер для экспертов
491,491,ООО Ак Барс Цифровые Технологии
492,492,АО Вакууммаш
493,493,ООО АВП-ГРУПП
494,494,ООО Технокап
495,495,HRS
496,496,AYA GAMES
497,497,ООО ДМСК
498,498,ООО РТ-ИНФОРМ
499,499,Первый Бит
500,500,ALP GROUP
501,501,ООО Основа +
502,502,ООО РСК Групп
503,503,ООО Совкомбанк Технологии
504,504,ООО Айтиконтакт
505,505,БФТ-Холдинг
506,506,ООО Айтиконтакт
507,507,ООО Совкомбанк Технологии
508,508,ООО ВР-Ресурс
509,509,7waysconsult
510,510,Первый Бит
511,511,ООО Айтиконтакт
512,512,ООО Банковские и Финансовые Системы
513,513,ООО АгроСтар Трейд +
514,514,ООО Аллегро
515,515,ООО Итле франчайзинг
516,516,ООО ХайТек Плант
517,517,ООО Napoleon IT
518,518,Группа компаний Грайф в России
519,519,БАРС Груп
520,520,ООО ТатАИСЭнерго
521,521,Первый Бит
522,522,iSpring
523,523,ООО LEDEL-FEREKS
524,524,Арсан
525,525,ООО Ак Барс Цифровые Технологии
526,526,Первый Бит
527,527,DSSL
528,528,ООО Технократия
529,529,Алабуга. IT-Разработка игр
530,530,Web Studio 512
531,531,ООО Архитектурно Строительная Компания Эсфоэс Архитектс
532,532,"Энергобанк, АКБ"
533,533,"Ак Барс Банк, Специалистам и руководителям"
534,534,ООО LEDEL-FEREKS
535,535,ООО ПСК ФАРМА
536,536,DSSL
537,537,ООО Вайс Сити Системс
538,538,ООО НПП ГКС
539,539,ООО Совкомбанк Технологии
540,540,АО КПКБ
541,541,АСКОН
542,542,Яндекс Крауд: Нейросети
543,543,ООО ДЮК Технологии
544,544,Центр развития Яркие дети ( ИП Калинкина Наталья Евгеньевна)
545,545,АК БАРС ДОМ
546,546,ООО СимбирСофт
547,547,ООО ГК ТОЧНО
548,548,Вамин Татарстан
549,549,ООО Смарт Бизнес
550,550,"АО ИНКОМСИСТЕМ, НИЦ"
551,551,"Энергобанк, АКБ"
552,552,Флэт
553,553,Центральный банк Российской Федерации (Банк России)
554,554,vteme.consulting
555,555,Т-Банк. ИТ. DWH
556,556,ООО ГК ТОЧНО
557,557,AYA GAMES
558,558,Алабуга. Управление цифровой трансформации
559,559,ООО Альфа-сервис
560,560,Яндекс Крауд: Нейросети
561,561,AYA GAMES
562,562,StarShip.Pro
563,563,Лаборатория качества
564,564,ГАУЗ Госпиталь для ветеранов войн г.Казани
565,565,Яндекс Команда для бизнеса
566,566,ИП Кафе-пекарня Добропек (Стерлядев О.Ю.)
567,567,Арсан
568,568,ООО Совкомбанк Технологии
569,569,Decart IT-production
570,570,ООО Нэти
571,571,ООО Неон
572,572,ICL Services
573,573,ООО Совкомбанк Технологии
574,574,ANCOR
575,575,ООО Основа +
576,576,iSpring
577,577,Decart IT-production
578,578,ООО Совкомбанк Технологии
579,579,ИП Валеев Гузалия Жаудатовна
580,580,Арес
581,581,"Kept, Технологическая практика"
582,582,Алабуга. Департамент арендного бизнеса
583,583,ООО Ак Барс Цифровые Технологии
584,584,РАЗУМ
585,585,ООО ТТК Диджитал
586,586,ООО ГК Эскорт
587,587,ООО СКБ Новые Технологии
588,588,SearchInform
589,589,Восток-Сервис
590,590,Хорошая погода
591,591,GIGAWISE (гигавайс)
592,592,БАРС Груп
593,593,ООО Системы документооборота
594,594,БАРС Груп
595,595,ООО Ак Барс Цифровые Технологии
596,596,БФТ-Холдинг
597,597,ООО Эвотор
598,598,"Метрополис, компания"
599,599,ПАО Совкомбанк
600,600,Восток-Сервис
601,601,Восток-Сервис
602,602,Восток-Сервис
603,603,"АО Август, Фирма"
604,604,Яндекс Крауд: Поддержка
605,605,ПАО Совкомбанк
606,606,Центральный банк Российской Федерации (Банк России)
607,607,Ozon Информационные технологии
608,608,ООО Maxima
609,609,Яндекс Крауд: Поддержка
610,610,TravelLine
611,611,Aston
612,612,ИП Носков Евгений Андреевич
613,613,ООО Открытые решения
614,614,ООО Брайт Эйдженси
615,615,РАЗУМ
616,616,АО Татэнергосбыт
617,617,ООО Ак Барс Цифровые Технологии
618,618,Сбер для экспертов
619,619,Алабуга. IT-Разработка игр
620,620,Алабуга. IT-Разработка игр
621,621,ООО ВАЙБ ГЕЙМС
622,622,ПАО ТАТТЕЛЕКОМ
623,623,ООО Архитектурно Строительная Компания Эсфоэс Архитектс
624,624,ООО Совкомбанк Технологии
625,625,TravelLine
626,626,ПАО Совкомбанк
627,627,Directum
628,628,ООО Бс-Ресурс
629,629,Центральный банк Российской Федерации (Банк России)
630,630,Сеть аптек Апрель
631,631,Компания КомЛайн
632,632,АО Уральский завод гражданской авиации
633,633,"Миррико, Группа Компаний"
634,634,ООО Термоватт
635,635,Homework
636,636,Компания КомЛайн
637,637,Казанский (Приволжский) федеральный университет
638,638,ООО Ак Барс Цифровые Технологии
639,639,ICL Soft
640,640,ГКУ «Центр цифровой трансформации РТ»
641,641,ООО АйТи Ресурс
642,642,iSpring
643,643,Rambler&Co
644,644,ООО Айтиконтакт
645,645,ООО ТОКИ
646,646,РАЗУМ
647,647,Яндекс Крауд: Поддержка
648,648,АСКОН
649,649,ООО Нелмар
650,650,ООО ДЕКА
651,651,ООО Селлематикс
652,652,ООО Мангазея
653,653,ООО ТАЛАТУ
654,654,ООО Procter&Gamble - Новомосковск
655,655,ООО Медицина
656,656,БАРС Груп
657,657,АО Уральский завод гражданской авиации
658,658,ООО ГИСГИС
659,659,"ЗащитаИнфоТранс, ФГУП"
660,660,АО КПКБ
661,661,ООО КИП-Сервис
662,662,AYA Group
663,663,АО Татэнергосбыт
664,664,АО Агропромышленный парк Казань
665,665,ООО СимбирСофт
666,666,ООО Телефонные Системы
667,667,АО КПКБ
668,668,Яндекс Крауд: Поддержка
669,669,ООО Colvir Software Solutions
670,670,ООО Имплекс Проекты
671,671,ООО Имплекс Проекты
672,672,ООО Имплекс Проекты
673,673,ООО Имплекс Проекты
674,674, Префаб Технологии. Инженеры и техники
675,675,Сервисы Екома и Райдтеха
676,676,ООО Датаюниверс
677,677,ИП Сливащенко Максим Геннадьевич
678,678,ООО Смарт Консалтинг
679,679,Компания КомЛайн
680,680,ООО Имплекс Проекты
681,681,ООО Бс-Ресурс
682,682,ООО 1C-Рарус
683,683,ГК ICL
684,684,Яндекс Крауд: Поддержка
685,685,Clickise
686,686,ООО Имплекс Проекты
687,687,ООО Системы документооборота
688,688,АО Гринатом. ИТ
689,689,ООО Совкомбанк Технологии
690,690,ООО Когорта-М
691,691,Яндекс Крауд: Поддержка
692,692,Арсан
693,693,ООО Смарт Консалтинг
694,694,Family Team
695,695,BIV
696,696,Контур
697,697,ICL Soft
698,698,ООО Эдьюкейшн Софт
699,699,Clickise
700,700,ООО Эверест
701,701,Тип-Топ Индустриальные решения
702,702,Т-Банк. ИТ. Управление разработкой
703,703,SMART-SHOP
704,704,ICL Services
705,705,iSpring
706,706,AYA Group
707,707,ООО Совкомбанк Технологии
708,708,Межрегиональный клинико-диагностический центр (МКДЦ)
709,709,ООО БПМСОФТ
710,710,Clickise
711,711,АО Клио-Софт
712,712,ЭйчарОсы
713,713,Сеть аптек Апрель
714,714,XWAY
715,715,ПАО Совкомбанк
716,716,Elfsight Inc.
717,717,ПАО Совкомбанк
718,718,ООО КЭР-Инжиниринг
719,719,Девелоника
720,720,Maytoni
721,721,ООО ВАЙБ ГЕЙМС
722,722,ООО КЭР-Инжиниринг
723,723,НПК Финист-софт
724,724,ООО ТОКИ
725,725,ICL Soft
726,726,ООО Совкомбанк Технологии
727,727,АО КЖК
728,728,ООО Тандем
729,729,Университет Иннополис
730,730,ООО Совкомбанк Технологии
731,731,ООО Совкомбанк Технологии
732,732,Сеть аптек Апрель
733,733,Russian International School
734,734,ООО Совкомбанк Технологии
735,735,Арсан
736,736,Metacommerce
737,737,Metacommerce
738,738,ООО Архитектурно Строительная Компания Эсфоэс Архитектс
739,739,ООО Архитектурно Строительная Компания Эсфоэс Архитектс
740,740,ООО Матус энд Квитс
741,741,ООО Имплекс Проекты
742,742,ООО Имплекс Проекты
743,743,ООО Имплекс Проекты
744,744,"Ак Барс Банк, Специалистам и руководителям"
745,745,ООО Имплекс Проекты
746,746,ООО Имплекс Проекты
747,747,ООО Имплекс Проекты
748,748,ООО Имплекс Проекты
749,749,ООО Имплекс Проекты
750,750,Житняков Денис
751,751,Житняков Денис
752,752,Novo BI
753,753,ООО Шанс
754,754,АО Флант
755,755,ООО ТулаСофт
756,756,Delta Computers
757,757,ООО Цветочные Системы
758,758,АО Ротек Диджитал Солюшнс
759,759,УП НПЦ Дельта
760,760,ООО НПП МетаСофт Про
761,761,ООО Р-Софт
762,762,ООО Вайлд-Групп
763,763,ООО Автомакон
764,764,WILDBERRIES
765,765,ООО НПП МетаСофт Про
766,766,РТК-СОФТ
767,767,BrainHub
768,768,АО Интелион Дата
769,769,ООО Between Exchange
770,770,Народный центр беспилотных систем
771,771,ООО Альта-Софт
772,772,ООО SIGMA IT
773,773,"Лента, федеральная розничная сеть, Работа в IT "
774,774,АО ТК Гранд Сервис Экспресс
775,775,ООО Цифровые привычки
776,776,АНО ЦИСМ
777,777,ООО ЧОП Центавр
778,778,Геоскан
779,779,КФХ Мазыра Сергей Юрьевич
780,780,ООО 1С:ЛОГИКА ДАННЫХ
781,781,Геоскан
782,782,МТС Банк. IT
783,783,НЕФТЕПРОДУКТТЕХНИКА
784,784,Коммуникационное агентство Upside
785,785,ООО АСТ ГОЗ
